,key_0,key_1,clicks_1,ctr_1,impressions_1,position_1,clicks_2,ctr_2,impressions_2,position_2
293,みんなの会議室 渋谷,https://www.instabase.jp/space/3430,0.0,0.0,46.0,13.347826086956522,0.0,0.0,24.0,11.666666666666666
292,みんなの会議室 渋谷,https://www.instabase.jp/space/2495,0.0,0.0,48.0,9.166666666666666,0.0,0.0,28.0,8.142857142857142
296,みんなの会議室 渋谷宮益坂,https://www.instabase.jp/space/3431,0.0,0.0,1.0,5.0,,,,
295,みんなの会議室 渋谷宮益坂,https://www.instabase.jp/space/3430,0.0,0.0,6.0,6.166666666666667,0.0,0.0,4.0,6.25
294,みんなの会議室 渋谷宮益坂,https://www.instabase.jp/space/2495,0.0,0.0,5.0,5.6,0.0,0.0,8.0,6.0
298,みんなの会議室 渋谷宮益坂2a,https://www.instabase.jp/space/3430,0.0,0.0,3.0,5.0,0.0,0.0,4.0,8.5
297,みんなの会議室 渋谷宮益坂2a,https://www.instabase.jp/space/2495,0.0,0.0,3.0,6.0,0.0,0.0,5.0,9.8
300,みんなの会議室 渋谷宮益坂3a,https://www.instabase.jp/space/3430,0.0,0.0,1.0,7.0,0.0,0.0,2.0,7.0
299,みんなの会議室 渋谷宮益坂3a,https://www.instabase.jp/space/2495,0.0,0.0,1.0,6.0,0.0,0.0,2.0,5.0
301,みんなの会議室 渋谷宮益坂3b,https://www.instabase.jp/space/4739172107,0.0,0.0,7.0,6.285714285714286,0.0,0.0,2.0,8.0
116,コモンズ渋谷道玄坂会議室,https://www.instabase.jp/reviews/312237284,1.0,1.0,1.0,5.0,,,,
117,コモンズ渋谷道玄坂会議室,https://www.instabase.jp/space/1631583677,1.0,0.16666666666666666,6.0,6.5,,,,
503,レンタル 会議室 渋谷,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,3.0,5.666666666666667,1.0,0.3333333333333333,3.0,5.666666666666667
504,レンタル 会議室 渋谷,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,4.0,4.75,0.0,0.0,4.0,4.75
505,レンタル 会議室 渋谷,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0
540,レンタル会議室 渋谷,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,19.0,5.421052631578948,0.0,0.0,20.0,5.35
139,レンタル会議室 渋谷,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,1.0,0.05,20.0,4.55,1.0,0.05,20.0,4.7
541,レンタル会議室 渋谷,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,1.0,6.0,,,,
542,ワンコイン会議室 渋谷,https://www.instabase.jp/space/168349888,0.0,0.0,2.0,5.0,0.0,0.0,3.0,5.333333333333333
543,ワンコイン会議室 渋谷,https://www.instabase.jp/tokyo-s1130205/list/onecoin,0.0,0.0,2.0,5.0,0.0,0.0,3.0,5.666666666666667
548,会議室 レンタル 渋谷,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,10.0,5.2,0.0,0.0,5.0,5.0
140,会議室 レンタル 渋谷,https://www.instabase.jp/space/3848304084,1.0,1.0,1.0,2.0,,,,
141,会議室 レンタル 渋谷,https://www.instabase.jp/tokyo-s1130205,1.0,0.0625,16.0,4.9375,0.0,0.0,11.0,5.0
142,会議室 レンタル 渋谷,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,1.0,0.08333333333333333,12.0,4.833333333333334,0.0,0.0,7.0,4.571428571428571
549,会議室 渋谷,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,45.0,6.044444444444444,0.0,0.0,3.0,6.333333333333333
75,会議室 渋谷,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,2.0,0.025,80.0,4.9125,1.0,0.016666666666666666,60.0,4.716666666666667
74,会議室 渋谷,https://www.instabase.jp/tokyo-s1130205,2.0,0.06451612903225806,31.0,5.806451612903226,0.0,0.0,56.0,5.857142857142857
628,東京都渋谷区道玄坂 貸会議室,https://www.instabase.jp/space/1493465690,0.0,0.0,21.0,2.0,0.0,0.0,25.0,2.0
664,渋谷 みんなの会議室,https://www.instabase.jp/space/2495,0.0,0.0,8.0,8.875,0.0,0.0,16.0,10.8125
665,渋谷 みんなの会議室,https://www.instabase.jp/space/3430,0.0,0.0,6.0,11.666666666666666,0.0,0.0,12.0,15.75
